Nom du fournisseur,Nom de l'offre,Puissance Comptreur,Prix de l'Abbonnement Option BASE,Prix du kWh Option BASE
EDF,Tarif Réglementé BLEU,6,9.21,0.1452
EDF,Tarif Réglementé BLEU,9,10.86,0.1469
EDF,Tarif Réglementé BLEU,12,12.58,0.1469
EDF,Tarif Vert Electrique,6,10.24,0.1436
EDF,Tarif Vert Electrique,9,10.93,0.1488
EDF,Tarif Vert Electrique,12,11.68,0.1518
ENGIE,Happ-e ,6,9.21,0.145
ENGIE,Happ-e ,9,10.86,0.1467
ENGIE,Happ-e ,12,12.58,0.1467
ENGIE,Electricité Verte,6,9.21,0.1429
ENGIE,Electricité Verte,9,10.86,0.1446
ENGIE,Electricité Verte,12,12.58,0.1446
DIRECT ENERGIE,Offre CLASSIQUE,6,9.21,0.1391
DIRECT ENERGIE,Offre CLASSIQUE,9,10.86,0.1406
DIRECT ENERGIE,Offre CLASSIQUE,12,12.58,0.1406
DIRECT ENERGIE,Offre EN LIGNE,6,9.21,0.1338
DIRECT ENERGIE,Offre EN LIGNE,9,10.86,0.1352
DIRECT ENERGIE,Offre EN LIGNE,12,12.58,0.1352
DIRECT ENERGIE,Offre VERTE,6,9.21,0.1423
DIRECT ENERGIE,Offre VERTE,9,10.86,0.1439
DIRECT ENERGIE,Offre VERTE,12,12.58,0.1439
TOTAL SPRING,Electricité VERTE FIXE,6,9.22,0.1344
TOTAL SPRING,Electricité VERTE FIXE,9,10.88,0.1358
TOTAL SPRING,Electricité VERTE FIXE,12,12.59,0.1358
ENI,WEBEO 1 AN,6,10.27,0.1419
ENI,WEBEO 1 AN,9,11.92,0.1435
ENI,WEBEO 1 AN,12,13.63,0.1435
ENI,ASTUCIO ECO,6,10.27,0.1449
ENI,ASTUCIO ECO,9,11.92,0.1466
ENI,ASTUCIO ECO,12,13.63,0.1466
ENI,ASTUCIO PLANETE,6,10.27,0.1514
ENI,ASTUCIO PLANETE,9,11.92,0.1532
ENI,ASTUCIO PLANETE,12,13.63,0.1532
PLANETE OUI,OFFRE ECO,6,7.65,0.145
PLANETE OUI,OFFRE ECO,9,9.04,0.1467
PLANETE OUI,OFFRE ECO,12,10.50,0.1467
PLANETE OUI,OFFRE SAFE,6,10.65,0.145
PLANETE OUI,OFFRE SAFE,9,12.04,0.1467
PLANETE OUI,OFFRE SAFE,12,13.50,0.1467
PLANETE OUI,OFFRE TEMPS REEL,6,10.38,0.1546
PLANETE OUI,OFFRE TEMPS REEL,9,12.22,0.1563
PLANETE OUI,OFFRE TEMPS REEL,12,14.15,0.1563
ENERCOOP,NON LINKI,6,11.45,0.17385
ENERCOOP,NON LINKI,9,14.09,0.17385
ENERCOOP,NON LINKI,12,20.06,0.1746
ENERCOOP,OUI LINKI,6,11.45,0.1746
ENERCOOP,OUI LINKI,9,14.09,0.1746
ENERCOOP,OUI LINKI,12,20.06,0.1746
ALTERNA,IDEA ELEC,6,9.73,0.1376
ALTERNA,IDEA ELEC,9,11.02,0.1356
ALTERNA,IDEA ELEC,12,16.46,0.1333
ALTERNA,IDEA VERT,6,9.73,0.1386
ALTERNA,IDEA VERT,9,11.02,0.1365
ALTERNA,IDEA VERT,12,16.46,0.1343
EKWAUTER,ELECTRICITE 100% RENOUVELABLE,6,12.11,0.1336
EKWAUTER,ELECTRICITE 100% RENOUVELABLE,9,13.64,0.1394
EKWAUTER,ELECTRICITE 100% RENOUVELABLE,12,15.24,0.1416
ANTARGAZ,OFFRE INDEXEE,6,9.70,0.1549
ANTARGAZ,OFFRE INDEXEE,9,9.61,0.1538
ANTARGAZ,OFFRE INDEXEE,12,9.58,0.1535
ANTARGAZ,OFFRE FIXE 12 Mois,6,12.73,0.1397
ANTARGAZ,OFFRE FIXE 12 Mois,9,14.38,0.1413
ANTARGAZ,OFFRE FIXE 12 Mois,12,16.53,0.1413
ANTARGAZ,OFFRE FIXE 24 Mois,6,9.45,0.1472
ANTARGAZ,OFFRE FIXE 24 Mois,9,13.06,0.1489
ANTARGAZ,OFFRE FIXE 24 Mois,12,15.22,0.1489
PROXELIA,OFFRE DOMELIA,6,8.82,0.1397
PROXELIA,OFFRE DOMELIA,9,10.41,0.1413
PROXELIA,OFFRE DOMELIA,12,12.06,0.1413
PROXELIA,OFFRE ALPENERGIE,6,9.21,0.1445
PROXELIA,OFFRE ALPENERGIE,9,10.86,0.1461
PROXELIA,OFFRE ALPENERGIE,12,12.58,0.1461
C DISCOUNT,OFFRE CDISCOUNT ENERGIE,6,9.21,0.1315
C DISCOUNT,OFFRE CDISCOUNT ENERGIE,9,10.86,0.1351
C DISCOUNT,OFFRE CDISCOUNT ENERGIE,12,12.58,0.1428
MINT ENERGIE,OFFRE CLASSIQUE ET GREEN,6,9.21,0.1391
MINT ENERGIE,OFFRE CLASSIQUE ET GREEN,9,10.86,0.1406
MINT ENERGIE,OFFRE CLASSIQUE ET GREEN,12,12.58,0.1406
MINT ENERGIE,OFFRE EN LIGNE ET GREEN,6,9.21,0.1315
MINT ENERGIE,OFFRE EN LIGNE ET GREEN,9,10.86,0.133
