Opérateur,Nom de l’offre,Prix mise en service,Prix sim,Engagement,portable,Prix,Nbrede Giga,Appel/sms/mmsIllimité France,Appel/sms/mmsIllimité Europe,Nombre giga Europe,Appel/sms/mmsIllimité Internetionnal,Internet Internationnal
SFR,POWER 10GO,10,1,false,false,31.00,10,true,true,10,false,false
SFR,POWER 50GO,10,1,false,false,35.00,50,true,true,50,false,false
SFR,POWER 100GO,10,1,false,false,50.00,100,true,true,100,true,false
SFR,PRENIUM @ILLIMITE,10,1,false,false,90.00,100,true,true,100,true,false
SFR,PRENIUM INTERNATIONAL,10,1,false,false,150.00,100,true,true,100,true,false
SFR,STARTER 2 H,10,1,true,false,9.00,40,true,true,40,false,false
SFR,STARTER 2 H BLOQUE,10,1,true,false,9.00,40,false,false,0,false,false
SFR,STARTER 100MO,10,1,true,false,15.00,"0,1",true,true,"0,1",false,false
SFR,POWER 10GO,10,1,true,false,26.00,10,true,true,10,false,false
SFR,POWER 50GO,10,1,true,false,35.00,50,true,true,50,false,false
SFR,POWER 100GO,10,1,true,false,50.00,100,true,true,100,true,false
SFR,PRENIUM @ILLIMITE,10,1,true,false,70.00,100,true,true,100,true,false
SFR,PRENIUM INTERNATIONAL,10,1,true,false,170.00,100,true,true,100,true,false
SFR,STARTER 2 H,10,1,true,true,9.00,40,true,true,40,false,false
SFR,STARTER 2 H BLOQUE,10,1,true,true,9.00,40,false,false,0,false,false
SFR,STARTER 100MO,10,1,true,true,15.00,"0,1",true,true,"0,1",false,false
SFR,POWER 10GO,10,1,true,true,31.00,10,true,true,10,false,false
SFR,POWER 50GO,10,1,true,true,45.00,50,true,true,50,false,false
SFR,POWER 100GO,10,1,true,true,65.00,100,true,true,100,true,false
SFR,PRENIUM @ILLIMITE,10,1,true,true,90.00,100,true,true,100,true,false
SFR,PRENIUM INTERNATIONAL,10,1,true,true,170.00,100,true,true,100,true,false
ORANGE,2H 100MO,0,0,true,false,7.99,"0,1",true,true,"0,1",false,false
ORANGE,2H 100MO BLOQUE,0,0,true,false,7.99,"0,1",false,false,"0,1",false,false
ORANGE,2H 5GO,0,0,true,false,16.99,5,true,true,5,false,false
ORANGE,2H 5GO BLOQUE,0,0,true,false,16.99,5,true,true,5,false,false
ORANGE,10GO,0,0,true,false,26.99,10,true,true,10,false,false
ORANGE,50GO,0,0,true,false,34.99,50,true,true,50,false,false
ORANGE,100GO,0,0,true,false,49.99,100,true,true,70,true,true
ORANGE,150GO,0,0,true,false,79.99,150,true,true,100,true,true
ORANGE,50GO,0,0,true,true,44.99,50,true,true,50,false,false
ORANGE,100GO,0,0,true,true,64.99,100,true,true,70,true,true
ORANGE,150GO,0,0,true,true,94.99,150,true,true,100,true,true
FREE,FREE,0,0,false,false,19.99,100,true,true,25,true,true
FREE,FREE 50GO,0,0,false,false,19.99,50,true,true,4,false,false
FREE,FREE 2€,0,0,false,false,2.00,"0,1",true,true,"0,05",false,false
BOUYGUES TELECOM,B N YOU 20 M,0,5,false,false,7.99,0.02,true,true,0.02,false,false
BOUYGUES TELECOM,B N YOU 40go,0,10,false,false,9.99,40,true,true,4,false,false
BOUYGUES TELECOM,B N YOU 20GO,0,5,false,false,19.99,20,true,true,10,false,false
BOUYGUES TELECOM,B N YOU 50GO,0,5,false,false,24.99,50,true,true,20,false,false
BOUYGUES TELECOM,SENSATION 50MO,0,5,true,false,9.99,"0,05",true,true,"0,05",false,false
BOUYGUES TELECOM,SENSATION 5GO,0,5,true,false,19.99,5,true,true,5,false,false
BOUYGUES TELECOM,SENSATION 50GO,0,5,true,false,29.99,50,true,true,20,false,false
BOUYGUES TELECOM,SENSATION 70GO,0,5,true,false,35.99,70,true,true,30,false,false
BOUYGUES TELECOM,SENSATION 100GO,0,5,true,false,89.99,100,true,true,50,true,true
BOUYGUES TELECOM,SENSATION 50MO,0,5,true,true,13.99,"0,05",true,true,"0,05",false,false
BOUYGUES TELECOM,SENSATION 5GO,0,5,true,true,25.99,5,true,true,5,false,false
BOUYGUES TELECOM,SENSATION 50GO,0,5,true,true,39.99,50,true,true,20,false,false
BOUYGUES TELECOM,SENSATION 70GO,0,5,true,true,45.99,70,true,true,30,false,false
BOUYGUES TELECOM,SENSATION 100GO,0,5,true,true,99.99,100,true,true,50,true,true
RED BY SFR,INTERNET 5H 50MO,0,10,false,false,5.00,"0,05",true,true,"0,05",false,false
RED BY SFR,INTERNET 40 GO,0,10,false,false,10.00,40,true,true,10,false,false
RED BY SFR,INTERNET60GO,0,10,false,false,15.00,60,true,true,15,false,false
RED BY SFR,INTERNET 100GO,0,10,false,false,20.00,100,true,true,10,false,false
NRJ MOBILE,SERIE LIMITE 50GO,0,10,false,false,16.99,50,true,true,5,false,false
NRJ MOBILE,100MO,0,10,false,false,9.99,"0,1",true,true,"0,1",false,false
NRJ MOBILE,10GO,0,10,false,false,15.99,10,true,true,2,false,false
NRJ MOBILE,100GO,0,10,false,false,19.99,100,true,true,5,false,false
CORIALIS,3H SMS MMS,0,0,true,false,14.99,5,false,false,5,false,false
CORIALIS,APPEL SMS MMS,0,0,true,false,19.99,10,true,true,6,false,false
CORIALIS,APPEL SMS MMS EUROPE,0,0,true,false,24.99,20,true,true,7,false,false
CORIALIS,APPEL SMS MMS EUROPE,0,0,true,false,29.99,40,true,true,9,false,false
CORIALIS,APPEL SMS MMS EUROPE,0,0,true,false,39.99,100,true,true,12,false,false
CORIALIS,1H SMS MMS,0,0,true,false,12.99,"0,2",true,true,"0,2",false,false
CORIALIS,3H SMS MMS,0,0,true,false,14.99,"0,2",true,true,"0,2",false,false
CORIALIS,APPEL SMS MMS,0,0,true,false,19.99,"0,2",true,true,"0,2",false,false
CORIALIS,1H 300SMS 150MMS BLOQUE,0,0,true,false,6.80,"0,05",true,true,"0,05",false,false
CORIALIS,2H SMS MMS BLOQUE,0,0,true,false,9.80,"0,1",true,true,"0,1",false,false
CORIALIS,2H SMS MMS BLOQUE,0,0,true,false,14.80,3,true,true,3,false,false
CORIALIS,3H SMS MMS,0,0,true,true,19.99,5,true,true,5,false,false
CORIALIS,APPEL SMS MMS,0,0,true,true,24.99,10,true,true,6,false,false
CORIALIS,APPEL SMS MMS EUROPE,0,0,true,true,29.99,20,true,true,7,false,false
CORIALIS,APPEL SMS MMS EUROPE,0,0,true,true,39.99,40,true,true,9,false,false
CORIALIS,APPEL SMS MMS EUROPE,0,0,true,true,49.99,100,true,true,12,false,false
CORIALIS,1H SMS MMS,0,0,true,true,12.99,"0,2",true,true,"0,2",false,false
CORIALIS,3H SMS MMS,0,0,true,true,14.99,"0,2",true,true,"0,2",false,false
CORIALIS,APPEL SMS MMS,0,0,true,true,19.99,"0,2",true,true,"0,2",false,false
CORIALIS,1H 300SMS 150MMS BLOQUE,0,0,true,true,9.80,"0,05",true,true,"0,05",false,false
CORIALIS,2H SMS MMS BLOQUE,0,0,true,true,13.80,"0,1",true,true,"0,1",false,false
CORIALIS,2H SMS MMS BLOQUE,0,0,true,true,19.80,3,true,true,3,false,false
CORIALIS,2H SMS MMS,0,0,false,false,3.99,"0,05",true,true,"0,05",false,false
CORIALIS,APPEL SMS MMS,0,0,false,false,19.99,50,true,true,50,false,false
CORIALIS,2H SMS MMS,0,0,false,false,9.99,5,true,true,5,false,false
CORIALIS,APPEL SMS MMS,0,0,false,false,14.99,20,true,true,20,false,false
PRIXTEL,L'ESSENTIEL 2H,0,10,false,false,2.00,"0,01",true,true,"0,01",false,false
PRIXTEL,L'ESSENTIEL 3H,0,10,false,false,3.90,"0,05",true,true,"0,02",false,false
PRIXTEL,L'ESSENTIEL 4H,0,10,false,false,5.99,"0,1",true,true,"0,1",false,false
